text,label,domain,timestamp,clean_text,tokens,joined_tokens,vader_compound,vader_pos,vader_neu,vader_neg
My mobile coverage was suddenly activated without any warning.,positive,telecom,2025-07-25 21:17:17.814623,My mobile coverage was suddenly activated without any warning.,"['mobile', 'coverage', 'suddenly', 'activated', 'without', 'warning']",mobile coverage suddenly activated without warning,0.2584,0.203,0.797,0.0
[REF-5600] The poor invoice in my area is causing frequent dropped calls.,negative,telecom,2025-07-25 18:09:29.979829,[REF-5600] The poor invoice in my area is causing frequent dropped calls.,"['ref-5600', 'poor', 'invoice', 'area', 'causing', 'frequent', 'dropped', 'call']",ref-5600 poor invoice area causing frequent dropped call,-0.4767,0.0,0.78,0.22
My mobile data plan was suddenly resta you know rted without any warning.,positive,telecom,2025-07-25 21:27:42.145036,My mobile data plan was suddenly resta you know rted without any warning.,"['mobile', 'data', 'plan', 'suddenly', 'resta', 'know', 'rted', 'without', 'warning']",mobile data plan suddenly resta know rted without warning,0.2584,0.145,0.855,0.0
The overpriced outage in my area is causing frequent dropped calls.,negative,telecom,2025-07-26 11:08:54.310242,The overpriced outage in my area is causing frequent dropped calls.,"['overpriced', 'outage', 'area', 'causing', 'frequent', 'dropped', 'call']",overpriced outage area causing frequent dropped call,0.0,0.0,1.0,0.0
[REF-8897] The poor outage in my area is causing frequent dropped calls.!!!,negative,telecom,2025-07-26 11:31:06.475449,[REF-8897] The poor outage in my area is causing frequent dropped calls!,"['ref-8897', 'poor', 'outage', 'area', 'causing', 'frequent', 'dropped', 'call']",ref-8897 poor outage area causing frequent dropped call,-0.5255,0.0,0.764,0.236
The overp ... riced network in my area is causing frequent dropped calls.,negative,telecom,2025-07-26 11:02:18.640655,The overp . riced network in my area is causing frequent dropped calls.,"['overp', 'riced', 'network', 'area', 'causing', 'frequent', 'dropped', 'call']",overp riced network area causing frequent dropped call,0.0,0.0,1.0,0.0
The overpriced roaming in my area is causing frequent dropped calls.,negative,telecom,2025-07-27 01:33:30.805862,The overpriced roaming in my area is causing frequent dropped calls.,"['overpriced', 'roaming', 'area', 'causing', 'frequent', 'dropped', 'call']",overpriced roaming area causing frequent dropped call,0.0,0.0,1.0,0.0
My mobile coverage was suddenly restarted without any warning.,positive,telecom,2025-07-27 03:34:42.971068,My mobile coverage was suddenly restarted without any warning.,"['mobile', 'coverage', 'suddenly', 'restarted', 'without', 'warning']",mobile coverage suddenly restarted without warning,0.2584,0.203,0.797,0.0
My signal has been intermittent like  for the past few hours.,neutral,telecom,2025-07-27 06:19:55.136275,My signal has been intermittent like for the past few hours.,"['signal', 'intermittent', 'like', 'past', 'hour']",signal intermittent like past hour,0.3612,0.2,0.8,0.0
The poor data plan in my area is causing frequent dropped calls.,negative,telecom,2025-07-26 17:03:07.301481,The poor data plan in my area is causing frequent dropped calls.,"['poor', 'data', 'plan', 'area', 'causing', 'frequent', 'dropped', 'call']",poor data plan area causing frequent dropped call,-0.4767,0.0,0.78,0.22
The unstable outage in my area is causing frequent dropped calls.,negative,telecom,2025-07-26 22:06:19.466688,The unstable outage in my area is causing frequent dropped calls.,"['unstable', 'outage', 'area', 'causing', 'frequent', 'dropped', 'call']",unstable outage area causing frequent dropped call,-0.3612,0.0,0.8,0.2
The overpriced data plan in my area is causing frequent dropped calls....,negative,telecom,2025-07-27 15:34:31.631894,The overpriced data plan in my area is causing frequent dropped calls.,"['overpriced', 'data', 'plan', 'area', 'causing', 'frequent', 'dropped', 'call']",overpriced data plan area causing frequent dropped call,0.0,0.0,1.0,0.0
The poor network in my area is causing frequent dropped calls.,negative,telecom,2025-07-26 21:36:43.797101,The poor network in my area is causing frequent dropped calls.,"['poor', 'network', 'area', 'causing', 'frequent', 'dropped', 'call']",poor network area causing frequent dropped call,-0.4767,0.0,0.763,0.237
The intermittent data plan in my area is causing frequent dropped calls.,negative,telecom,2025-07-27 02:16:55.962307,The intermittent data plan in my area is causing frequent dropped calls.,"['intermittent', 'data', 'plan', 'area', 'causing', 'frequent', 'dropped', 'call']",intermittent data plan area causing frequent dropped call,0.0,0.0,1.0,0.0
[REF-1305] The overpriced coverage in my area is causing frequent dropped calls.,negative,telecom,2025-07-27 12:01:08.127514,[REF-1305] The overpriced coverage in my area is causing frequent dropped calls.,"['ref-1305', 'overpriced', 'coverage', 'area', 'causing', 'frequent', 'dropped', 'call']",ref-1305 overpriced coverage area causing frequent dropped call,0.0,0.0,1.0,0.0
My mobile coverage was suddenly restarted without any warning.,neutral,telecom,2025-07-27 10:40:20.292720,My mobile coverage was suddenly restarted without any warning.,"['mobile', 'coverage', 'suddenly', 'restarted', 'without', 'warning']",mobile coverage suddenly restarted without warning,0.2584,0.203,0.797,0.0
My mobile invoice was suddenly escalated without any warning.,neutral,telecom,2025-07-27 09:40:32.457927,My mobile invoice was suddenly escalated without any warning.,"['mobile', 'invoice', 'suddenly', 'escalated', 'without', 'warning']",mobile invoice suddenly escalated without warning,0.2584,0.203,0.797,0.0
I was escalated an  ... incorrect amount on my recent network.,positive,telecom,2025-07-27 21:45:44.623133,I was escalated an . incorrect amount on my recent network.,"['escalated', 'incorrect', 'amount', 'recent', 'network']",escalated incorrect amount recent network,0.0,0.0,1.0,0.0
The frustrating signal in my area is causing frequent dropped calls.,negative,telecom,2025-07-27 11:44:56.788340,The frustrating signal in my area is causing frequent dropped calls.,"['frustrating', 'signal', 'area', 'causing', 'frequent', 'dropped', 'call']",frustrating signal area causing frequent dropped call,-0.4404,0.0,0.775,0.225
[REF-4459] The frustrating billing in my area is causing frequent dropped calls.,negative,telecom,2025-07-28 12:01:08.953546,[REF-4459] The frustrating billing in my area is causing frequent dropped calls.,"['ref-4459', 'frustrating', 'billing', 'area', 'causing', 'frequent', 'dropped', 'call']",ref-4459 frustrating billing area causing frequent dropped call,-0.4404,0.0,0.791,0.209
My SIM card has been frustrating for the past few hours.,neutral,telecom,2025-07-27 17:10:21.118753,My SIM card has been frustrating for the past few hours.,"['sim', 'card', 'frustrating', 'past', 'hour']",sim card frustrating past hour,-0.4404,0.0,0.775,0.225
I was reported an incorrect amount on my recent roaming.,positive,telecom,2025-07-28 09:28:33.283959,I was reported an incorrect amount on my recent roaming.,"['reported', 'incorrect', 'amount', 'recent', 'roaming']",reported incorrect amount recent roaming,0.0,0.0,1.0,0.0
THE OVERPRICED CUSTOMER SERVICE IN MY AREA IS CAUSING FREQUENT DROPPED CALLS.,negative,telecom,2025-07-28 15:24:45.449166,THE OVERPRICED CUSTOMER SERVICE IN MY AREA IS CAUSING FREQUENT DROPPED CALLS.,"['overpriced', 'customer', 'service', 'area', 'causing', 'frequent', 'dropped', 'call']",overpriced customer service area causing frequent dropped call,0.0,0.0,1.0,0.0
My signal has been intermittent for the past few hours.,positive,telecom,2025-07-28 23:06:57.614372,My signal has been intermittent for the past few hours.,"['signal', 'intermittent', 'past', 'hour']",signal intermittent past hour,0.0,0.0,1.0,0.0
My mobile network was suddenly charge like d without any warning.,positive,telecom,2025-07-28 20:58:09.779579,My mobile network was suddenly charge like d without any warning.,"['mobile', 'network', 'suddenly', 'charge', 'like', 'without', 'warning']",mobile network suddenly charge like without warning,0.5478,0.335,0.665,0.0
The frustrating roaming in my area is causing frequent dro umm pped calls. ?!?,negative,telecom,2025-07-29 01:06:21.944785,The frustrating roaming in my area is causing frequent dro umm pped calls. ?,"['frustrating', 'roaming', 'area', 'causing', 'frequent', 'dro', 'umm', 'pped', 'call']",frustrating roaming area causing frequent dro umm pped call,-0.4404,0.0,0.818,0.182
The frustrating billing in my area is causing frequent dropped calls.,negative,telecom,2025-07-29 01:34:34.109992,The frustrating billing in my area is causing frequent dropped calls.,"['frustrating', 'billing', 'area', 'causing', 'frequent', 'dropped', 'call']",frustrating billing area causing frequent dropped call,-0.4404,0.0,0.775,0.225
My SIM card has been unlimited for the past few hours.,positive,telecom,2025-07-28 19:59:46.275198,My SIM card has been unlimited for the past few hours.,"['sim', 'card', 'unlimited', 'past', 'hour']",sim card unlimited past hour,0.0,0.0,1.0,0.0
The overpriced coverage in my area is causing frequent dropped calls. ?!?,negative,telecom,2025-07-28 16:58:58.440405,The overpriced coverage in my area is causing frequent dropped calls. ?,"['overpriced', 'coverage', 'area', 'causing', 'frequent', 'dropped', 'call']",overpriced coverage area causing frequent dropped call,0.0,0.0,1.0,0.0
The po ... or network in my area is causing frequent dropped calls.,negative,telecom,2025-07-29 16:28:10.605611,The po . or network in my area is causing frequent dropped calls.,"['po', 'network', 'area', 'causing', 'frequent', 'dropped', 'call']",po network area causing frequent dropped call,-0.5574,0.0,0.769,0.231
The overpriced invoice in my area is causing frequent dropped calls.,negative,telecom,2025-07-29 00:03:22.770818,The overpriced invoice in my area is causing frequent dropped calls.,"['overpriced', 'invoice', 'area', 'causing', 'frequent', 'dropped', 'call']",overpriced invoice area causing frequent dropped call,0.0,0.0,1.0,0.0
[REF-3965] I WAS RESTARTED AN INCORRECT AMOUNT ON MY RECENT SIM CARD.,neutral,telecom,2025-07-29 21:46:34.936024,[REF-3965] I WAS RESTARTED AN INCORRECT AMOUNT ON MY RECENT SIM CARD.,"['ref-3965', 'restarted', 'incorrect', 'amount', 'recent', 'sim', 'card']",ref-3965 restarted incorrect amount recent sim card,0.0,0.0,1.0,0.0
I need to speak with signal about a excellent charge.,positive,telecom,2025-07-29 23:58:47.101231,I need to speak with signal about a excellent charge.,"['need', 'speak', 'signal', 'excellent', 'charge']",need speak signal excellent charge,0.5719,0.291,0.709,0.0
I was resolved an incorrect amount on my recent customer service.,positive,telecom,2025-07-29 05:03:59.266437,I was resolved an incorrect amount on my recent customer service.,"['resolved', 'incorrect', 'amount', 'recent', 'customer', 'service']",resolved incorrect amount recent customer service,0.1779,0.145,0.855,0.0
THE UNSTABLE SIM CARD IN MY AREA IS CAUSING FREQUENT DROPPED CALLS.,neutral,telecom,2025-07-30 01:14:11.431644,THE UNSTABLE SIM CARD IN MY AREA IS CAUSING FREQUENT DROPPED CALLS.,"['unstable', 'sim', 'card', 'area', 'causing', 'frequent', 'dropped', 'call']",unstable sim card area causing frequent dropped call,-0.3612,0.0,0.815,0.185
The poor outage in my area is causing frequent dropped calls. ?!?,negative,telecom,2025-07-29 09:57:23.596850,The poor outage in my area is causing frequent dropped calls. ?,"['poor', 'outage', 'area', 'causing', 'frequent', 'dropped', 'call']",poor outage area causing frequent dropped call,-0.4767,0.0,0.78,0.22
My roaming has been unlimited for the past few hours.,positive,telecom,2025-07-30 04:23:35.762057,My roaming has been unlimited for the past few hours.,"['roaming', 'unlimited', 'past', 'hour']",roaming unlimited past hour,0.0,0.0,1.0,0.0
The overpriced customer service in my area is causing frequent dropped calls.,negative,telecom,2025-07-29 23:05:47.927263,The overpriced customer service in my area is causing frequent dropped calls.,"['overpriced', 'customer', 'service', 'area', 'causing', 'frequent', 'dropped', 'call']",overpriced customer service area causing frequent dropped call,0.0,0.0,1.0,0.0
My billing has been unlimited for the past few hours.,positive,telecom,2025-07-30 13:14:00.092470,My billing has been unlimited for the past few hours.,"['billing', 'unlimited', 'past', 'hour']",billing unlimited past hour,0.0,0.0,1.0,0.0
The unstable data plan in my area is causing frequent dropped calls.,negative,telecom,2025-07-29 22:16:12.257677,The unstable data plan in my area is causing frequent dropped calls.,"['unstable', 'data', 'plan', 'area', 'causing', 'frequent', 'dropped', 'call']",unstable data plan area causing frequent dropped call,-0.3612,0.0,0.815,0.185
My mobile roaming was suddenly reported without any warning.,positive,telecom,2025-07-30 06:33:24.422883,My mobile roaming was suddenly reported without any warning.,"['mobile', 'roaming', 'suddenly', 'reported', 'without', 'warning']",mobile roaming suddenly reported without warning,0.2584,0.203,0.797,0.0
I need to speak with SIM card about a unlimited  ... charge.,positive,telecom,2025-07-30 21:09:36.588090,I need to speak with SIM card about a unlimited . charge.,"['need', 'speak', 'sim', 'card', 'unlimited', 'charge']",need speak sim card unlimited charge,0.0,0.0,1.0,0.0
The overpriced invoice in my area is causing frequent dropped calls....,negative,telecom,2025-07-31 01:06:48.753296,The overpriced invoice in my area is causing frequent dropped calls.,"['overpriced', 'invoice', 'area', 'causing', 'frequent', 'dropped', 'call']",overpriced invoice area causing frequent dropped call,0.0,0.0,1.0,0.0
Can you check if  ... there is a service SIM card in my location?,positive,telecom,2025-07-31 01:42:00.918503,Can you check if . there is a service SIM card in my location?,"['check', 'service', 'sim', 'card', 'location']",check service sim card location,0.0,0.0,1.0,0.0
The overpriced signal in my area is causing frequent dropped calls.,negative,telecom,2025-07-30 18:59:13.083709,The overpriced signal in my area is causing frequent dropped calls.,"['overpriced', 'signal', 'area', 'causing', 'frequent', 'dropped', 'call']",overpriced signal area causing frequent dropped call,0.0,0.0,1.0,0.0
The frustrating customer service in my area is causing frequent dropped calls.,negative,telecom,2025-07-30 15:50:25.248916,The frustrating customer service in my area is causing frequent dropped calls.,"['frustrating', 'customer', 'service', 'area', 'causing', 'frequent', 'dropped', 'call']",frustrating customer service area causing frequent dropped call,-0.4404,0.0,0.791,0.209
The unstable outage in my area is causing frequent dropped calls.,negative,telecom,2025-07-31 01:22:37.414122,The unstable outage in my area is causing frequent dropped calls.,"['unstable', 'outage', 'area', 'causing', 'frequent', 'dropped', 'call']",unstable outage area causing frequent dropped call,-0.3612,0.0,0.8,0.2
The frustrating signal in my area is causing f umm requent dropped calls.,negative,telecom,2025-07-31 01:03:49.579329,The frustrating signal in my area is causing f umm requent dropped calls.,"['frustrating', 'signal', 'area', 'causing', 'f', 'umm', 'requent', 'dropped', 'call']",frustrating signal area causing f umm requent dropped call,-0.4404,0.0,0.805,0.195
My coverage has been excellent for the past few hours.,positive,telecom,2025-07-31 16:46:01.744535,My coverage has been excellent for the past few hours.,"['coverage', 'excellent', 'past', 'hour']",coverage excellent past hour,0.5719,0.291,0.709,0.0
I NEED TO SPEAK WITH INVOICE ABOUT A INTERMITTENT CHARGE.,positive,telecom,2025-07-31 13:47:13.909742,I NEED TO SPEAK WITH INVOICE ABOUT A INTERMITTENT CHARGE.,"['need', 'speak', 'invoice', 'intermittent', 'charge']",need speak invoice intermittent charge,0.0,0.0,1.0,0.0
The overpriced outage in my area is causing frequent dropped calls.,negative,telecom,2025-07-31 07:37:26.074948,The overpriced outage in my area is causing frequent dropped calls.,"['overpriced', 'outage', 'area', 'causing', 'frequent', 'dropped', 'call']",overpriced outage area causing frequent dropped call,0.0,0.0,1.0,0.0
The overpriced roaming in my area is causing frequent dropped calls.,negative,telecom,2025-08-01 01:40:38.240155,The overpriced roaming in my area is causing frequent dropped calls.,"['overpriced', 'roaming', 'area', 'causing', 'frequent', 'dropped', 'call']",overpriced roaming area causing frequent dropped call,0.0,0.0,1.0,0.0
I need to speak with SIM card about a unlimited charge.,positive,telecom,2025-08-01 07:17:50.405361,I need to speak with SIM card about a unlimited charge.,"['need', 'speak', 'sim', 'card', 'unlimited', 'charge']",need speak sim card unlimited charge,0.0,0.0,1.0,0.0
My SIM card has been intermittent for the past few hours.,positive,telecom,2025-07-31 22:15:02.570568,My SIM card has been intermittent for the past few hours.,"['sim', 'card', 'intermittent', 'past', 'hour']",sim card intermittent past hour,0.0,0.0,1.0,0.0
The overpriced network in my area is causing frequent dropped calls.,negative,telecom,2025-08-01 10:46:14.735774,The overpriced network in my area is causing frequent dropped calls.,"['overpriced', 'network', 'area', 'causing', 'frequent', 'dropped', 'call']",overpriced network area causing frequent dropped call,0.0,0.0,1.0,0.0
The unstable network in my area is causing frequent dropped calls.,negative,telecom,2025-08-01 09:47:26.900981,The unstable network in my area is causing frequent dropped calls.,"['unstable', 'network', 'area', 'causing', 'frequent', 'dropped', 'call']",unstable network area causing frequent dropped call,-0.3612,0.0,0.8,0.2
[REF-8393] The intermitten umm t invoice in my area is causing frequent dropped calls.,negative,telecom,2025-07-31 22:04:39.066187,[REF-8393] The intermitten umm t invoice in my area is causing frequent dropped calls.,"['ref-8393', 'intermitten', 'umm', 'invoice', 'area', 'causing', 'frequent', 'dropped', 'call']",ref-8393 intermitten umm invoice area causing frequent dropped call,0.0,0.0,1.0,0.0
My mobile signal was suddenly activated without any warning.,positive,telecom,2025-08-01 15:27:51.231394,My mobile signal was suddenly activated without any warning.,"['mobile', 'signal', 'suddenly', 'activated', 'without', 'warning']",mobile signal suddenly activated without warning,0.2584,0.203,0.797,0.0
[REF-3845] The unstable billing in my area is causing frequent dropped calls.,negative,telecom,2025-08-01 20:15:03.396600,[REF-3845] The unstable billing in my area is causing frequent dropped calls.,"['ref-3845', 'unstable', 'billing', 'area', 'causing', 'frequent', 'dropped', 'call']",ref-3845 unstable billing area causing frequent dropped call,-0.3612,0.0,0.815,0.185
The frustrating billing in my area is causing frequent dropped calls.,negative,telecom,2025-08-01 19:40:15.561807,The frustrating billing in my area is causing frequent dropped calls.,"['frustrating', 'billing', 'area', 'causing', 'frequent', 'dropped', 'call']",frustrating billing area causing frequent dropped call,-0.4404,0.0,0.775,0.225
My mobile invoice was suddenly reported without any warning.!!!,neutral,telecom,2025-08-01 12:28:27.727013,My mobile invoice was suddenly reported without any warning!,"['mobile', 'invoice', 'suddenly', 'reported', 'without', 'warning']",mobile invoice suddenly reported without warning,0.3244,0.225,0.775,0.0
The frustrating customer service in my area is causing frequent dropped calls.,negative,telecom,2025-08-01 17:29:39.892220,The frustrating customer service in my area is causing frequent dropped calls.,"['frustrating', 'customer', 'service', 'area', 'causing', 'frequent', 'dropped', 'call']",frustrating customer service area causing frequent dropped call,-0.4404,0.0,0.791,0.209
The unstable outage in my area is causing frequent dropped calls.,negative,telecom,2025-08-02 00:17:52.057426,The unstable outage in my area is causing frequent dropped calls.,"['unstable', 'outage', 'area', 'causing', 'frequent', 'dropped', 'call']",unstable outage area causing frequent dropped call,-0.3612,0.0,0.8,0.2
The overpriced billing in my area is causing frequent dropped calls.,neutral,telecom,2025-08-01 22:58:04.222633,The overpriced billing in my area is causing frequent dropped calls.,"['overpriced', 'billing', 'area', 'causing', 'frequent', 'dropped', 'call']",overpriced billing area causing frequent dropped call,0.0,0.0,1.0,0.0
My invoice has been frustrating for the past few hours.,neutral,telecom,2025-08-02 03:59:16.387839,My invoice has been frustrating for the past few hours.,"['invoice', 'frustrating', 'past', 'hour']",invoice frustrating past hour,-0.4404,0.0,0.756,0.244
My customer service has been helpful for the past few hours.,positive,telecom,2025-08-02 01:44:28.553046,My customer service has been helpful for the past few hours.,"['customer', 'service', 'helpful', 'past', 'hour']",customer service helpful past hour,0.4215,0.219,0.781,0.0
My mobile invoice was suddenly resolved without any warning.,positive,telecom,2025-08-01 22:50:40.718252,My mobile invoice was suddenly resolved without any warning.,"['mobile', 'invoice', 'suddenly', 'resolved', 'without', 'warning']",mobile invoice suddenly resolved without warning,0.409,0.348,0.652,0.0
[REF-1071] The frustrating SIM card in my area is causing frequent dropped calls.,negative,telecom,2025-08-02 06:10:52.883459,[REF-1071] The frustrating SIM card in my area is causing frequent dropped calls.,"['ref-1071', 'frustrating', 'sim', 'card', 'area', 'causing', 'frequent', 'dropped', 'call']",ref-1071 frustrating sim card area causing frequent dropped call,-0.4404,0.0,0.805,0.195
Can you check if there is a service coverage in my location?,positive,telecom,2025-08-02 22:34:05.048665,Can you check if there is a service coverage in my location?,"['check', 'service', 'coverage', 'location']",check service coverage location,0.0,0.0,1.0,0.0
The poor outage in my area is causing frequent dropped calls.!!!,negative,telecom,2025-08-02 12:20:17.213872,The poor outage in my area is causing frequent dropped calls!,"['poor', 'outage', 'area', 'causing', 'frequent', 'dropped', 'call']",poor outage area causing frequent dropped call,-0.5255,0.0,0.747,0.253
The overpriced outage in my area is causing frequent dropped calls.,negative,telecom,2025-08-03 05:47:29.379078,The overpriced outage in my area is causing frequent dropped calls.,"['overpriced', 'outage', 'area', 'causing', 'frequent', 'dropped', 'call']",overpriced outage area causing frequent dropped call,0.0,0.0,1.0,0.0
The frustrating dropped call in my area is causing frequent dropped calls.,negative,telecom,2025-08-03 07:50:41.544285,The frustrating dropped call in my area is causing frequent dropped calls.,"['frustrating', 'dropped', 'call', 'area', 'causing', 'frequent', 'dropped', 'call']",frustrating dropped call area causing frequent dropped call,-0.4404,0.0,0.791,0.209
My mobile network was suddenly disconnected without any warning.,neutral,telecom,2025-08-02 22:43:53.709491,My mobile network was suddenly disconnected without any warning.,"['mobile', 'network', 'suddenly', 'disconnected', 'without', 'warning']",mobile network suddenly disconnected without warning,0.2584,0.203,0.797,0.0
My mobile coverage was suddenly escalated without any warning. ?!?,neutral,telecom,2025-08-03 15:21:05.874698,My mobile coverage was suddenly escalated without any warning. ?,"['mobile', 'coverage', 'suddenly', 'escalated', 'without', 'warning']",mobile coverage suddenly escalated without warning,0.2584,0.184,0.816,0.0
My mobile roaming was suddenly resolved without any warning.,positive,telecom,2025-08-03 10:39:18.039904,My mobile roaming was suddenly resolved without any warning.,"['mobile', 'roaming', 'suddenly', 'resolved', 'without', 'warning']",mobile roaming suddenly resolved without warning,0.409,0.348,0.652,0.0
The intermittent dropped call in my area is causing frequent dropped calls.,negative,telecom,2025-08-03 10:39:30.205111,The intermittent dropped call in my area is causing frequent dropped calls.,"['intermittent', 'dropped', 'call', 'area', 'causing', 'frequent', 'dropped', 'call']",intermittent dropped call area causing frequent dropped call,0.0,0.0,1.0,0.0
The poor coverage in my area is causing frequent dropped calls.,negative,telecom,2025-08-03 20:14:42.370317,The poor coverage in my area is causing frequent dropped calls.,"['poor', 'coverage', 'area', 'causing', 'frequent', 'dropped', 'call']",poor coverage area causing frequent dropped call,-0.4767,0.0,0.763,0.237
I was restarted an incorrect amount on my recent roaming.,neutral,telecom,2025-08-03 04:25:54.535524,I was restarted an incorrect amount on my recent roaming.,"['restarted', 'incorrect', 'amount', 'recent', 'roaming']",restarted incorrect amount recent roaming,0.0,0.0,1.0,0.0
The unstable outage in my area is causing frequent dropped calls.,negative,telecom,2025-08-03 07:59:06.700730,The unstable outage in my area is causing frequent dropped calls.,"['unstable', 'outage', 'area', 'causing', 'frequent', 'dropped', 'call']",unstable outage area causing frequent dropped call,-0.3612,0.0,0.8,0.2
I need to speak with coverage about a unlimited charge.,positive,telecom,2025-08-04 01:33:18.865937,I need to speak with coverage about a unlimited charge.,"['need', 'speak', 'coverage', 'unlimited', 'charge']",need speak coverage unlimited charge,0.0,0.0,1.0,0.0
My mobile network was suddenly activated without any warning.,positive,telecom,2025-08-03 20:43:31.031143,My mobile network was suddenly activated without any warning.,"['mobile', 'network', 'suddenly', 'activated', 'without', 'warning']",mobile network suddenly activated without warning,0.2584,0.203,0.797,0.0
My mobile customer service was suddenly activated without any warning.,positive,telecom,2025-08-03 15:43:43.196350,My mobile customer service was suddenly activated without any warning.,"['mobile', 'customer', 'service', 'suddenly', 'activated', 'without', 'warning']",mobile customer service suddenly activated without warning,0.2584,0.184,0.816,0.0
The frustrating dropped call in my area is causing frequent dropped calls.,negative,telecom,2025-08-04 16:37:55.361556,The frustrating dropped call in my area is causing frequent dropped calls.,"['frustrating', 'dropped', 'call', 'area', 'causing', 'frequent', 'dropped', 'call']",frustrating dropped call area causing frequent dropped call,-0.4404,0.0,0.791,0.209
My billing has been u ... nstable for the past few hours.,neutral,telecom,2025-08-04 04:38:07.526763,My billing has been u . nstable for the past few hours.,"['billing', 'u', 'nstable', 'past', 'hour']",billing u nstable past hour,0.0,0.0,1.0,0.0
My mobile SIM card was suddenly activated without any warning.,positive,telecom,2025-08-04 07:16:19.691969,My mobile SIM card was suddenly activated without any warning.,"['mobile', 'sim', 'card', 'suddenly', 'activated', 'without', 'warning']",mobile sim card suddenly activated without warning,0.2584,0.184,0.816,0.0
My mobile customer service was suddenly upgraded without any warning.,positive,telecom,2025-08-04 02:04:31.857176,My mobile customer service was suddenly upgraded without any warning.,"['mobile', 'customer', 'service', 'suddenly', 'upgraded', 'without', 'warning']",mobile customer service suddenly upgraded without warning,0.2584,0.184,0.816,0.0
I was resolved an incorrect amount on my recent signal.,positive,telecom,2025-08-04 10:59:44.022382,I was resolved an incorrect amount on my recent signal.,"['resolved', 'incorrect', 'amount', 'recent', 'signal']",resolved incorrect amount recent signal,0.1779,0.159,0.841,0.0
I NEED TO SPEAK WITH INVOICE ABOUT A OVERPRICED CHARGE umm .!!!,neutral,telecom,2025-08-04 09:07:56.187589,I NEED TO SPEAK WITH INVOICE ABOUT A OVERPRICED CHARGE umm !,"['need', 'speak', 'invoice', 'overpriced', 'charge', 'umm']",need speak invoice overpriced charge umm,0.0,0.0,1.0,0.0
The overpriced invoice in my area is causing frequent dropped calls.,negative,telecom,2025-08-05 05:55:08.352795,The overpriced invoice in my area is causing frequent dropped calls.,"['overpriced', 'invoice', 'area', 'causing', 'frequent', 'dropped', 'call']",overpriced invoice area causing frequent dropped call,0.0,0.0,1.0,0.0
Can you check if there is a service customer service in my location?,positive,telecom,2025-08-04 15:31:20.518002,Can you check if there is a service customer service in my location?,"['check', 'service', 'customer', 'service', 'location']",check service customer service location,0.0,0.0,1.0,0.0
The unstable outage in my area is causing frequent dropped calls.,negative,telecom,2025-08-05 13:06:32.683208,The unstable outage in my area is causing frequent dropped calls.,"['unstable', 'outage', 'area', 'causing', 'frequent', 'dropped', 'call']",unstable outage area causing frequent dropped call,-0.3612,0.0,0.8,0.2
THE UNSTABLE OUTAGE IN MY AREA IS CAUSING FREQUENT DROPPED CALLS.,negative,telecom,2025-08-04 20:22:44.848415,THE UNSTABLE OUTAGE IN MY AREA IS CAUSING FREQUENT DROPPED CALLS.,"['unstable', 'outage', 'area', 'causing', 'frequent', 'dropped', 'call']",unstable outage area causing frequent dropped call,-0.3612,0.0,0.8,0.2
My mobile signal was suddenly escalated without any warning.,positive,telecom,2025-08-05 03:27:57.013621,My mobile signal was suddenly escalated without any warning.,"['mobile', 'signal', 'suddenly', 'escalated', 'without', 'warning']",mobile signal suddenly escalated without warning,0.2584,0.203,0.797,0.0
My coverage has been unlimited for the past few hours.,positive,telecom,2025-08-05 17:58:09.178828,My coverage has been unlimited for the past few hours.,"['coverage', 'unlimited', 'past', 'hour']",coverage unlimited past hour,0.0,0.0,1.0,0.0
THE INTERMITTENT DROPPED CALL IN MY AREA IS CAUSING FREQUENT DROPPED CALLS.,negative,telecom,2025-08-05 15:36:21.344034,THE INTERMITTENT DROPPED CALL IN MY AREA IS CAUSING FREQUENT DROPPED CALLS.,"['intermittent', 'dropped', 'call', 'area', 'causing', 'frequent', 'dropped', 'call']",intermittent dropped call area causing frequent dropped call,0.0,0.0,1.0,0.0
My mobile billing was suddenly upgraded without any warning.,positive,telecom,2025-08-06 02:38:33.509241,My mobile billing was suddenly upgraded without any warning.,"['mobile', 'billing', 'suddenly', 'upgraded', 'without', 'warning']",mobile billing suddenly upgraded without warning,0.2584,0.203,0.797,0.0
My mobile dropped call was suddenly restarted without any warning.,neutral,telecom,2025-08-06 05:57:45.674447,My mobile dropped call was suddenly restarted without any warning.,"['mobile', 'dropped', 'call', 'suddenly', 'restarted', 'without', 'warning']",mobile dropped call suddenly restarted without warning,0.2584,0.184,0.816,0.0
The poor billing in my area is causing frequent dropped calls.,negative,telecom,2025-08-06 03:08:57.839654,The poor billing in my area is causing frequent dropped calls.,"['poor', 'billing', 'area', 'causing', 'frequent', 'dropped', 'call']",poor billing area causing frequent dropped call,-0.4767,0.0,0.763,0.237
I NEED TO SPEAK WITH DATA PLAN ABOUT A FRUSTRATING CHARGE.,neutral,telecom,2025-08-05 16:23:10.004860,I NEED TO SPEAK WITH DATA PLAN ABOUT A FRUSTRATING CHARGE.,"['need', 'speak', 'data', 'plan', 'frustrating', 'charge']",need speak data plan frustrating charge,-0.4404,0.0,0.775,0.225
